evaluation,de-identified
2.25.159598556603806733881006499868914073078,1.3.6.1.4.1.14519.5.2.1.8700.9668.156357519973417215165616340809
2.25.159902731742176372953825761609362554358,1.3.6.1.4.1.14519.5.2.1.8700.9668.364580651335286011650469108634
2.25.159932046954588275901378748806426377718,1.3.6.1.4.1.14519.5.2.1.8700.9668.332893653518934879690938970409
2.25.159937377029221423034690354475685232118,1.3.6.1.4.1.14519.5.2.1.8700.9668.229659463678456785807585097582
2.25.159938781348401988370074200042204937718,1.3.6.1.4.1.14519.5.2.1.8700.9668.150363791132561273866951042825
2.25.159990137439484547085024023198532484598,1.3.6.1.4.1.14519.5.2.1.8700.9668.115179897691743824638249525914
2.25.160019808782486951650774493375653068278,1.3.6.1.4.1.14519.5.2.1.8700.9668.215408089408805852458650996977
2.25.160057170407083803284453480896313015798,1.3.6.1.4.1.14519.5.2.1.8700.9668.158065389566342261794502868321
2.25.160061037929836937098093109744248667638,1.3.6.1.4.1.14519.5.2.1.8700.9668.143833632010909246637212988573
2.25.160100352132498952776372090155564645878,1.3.6.1.4.1.14519.5.2.1.8700.9668.650565135400350646464640033111
2.25.160231671623443908201968325350087310838,1.3.6.1.4.1.14519.5.2.1.8700.9668.380900662603641880620632218969
2.25.160408716459961533576041610532387143158,1.3.6.1.4.1.14519.5.2.1.8700.9668.158726862153630458651467807961
2.25.160507521901433072631454519192851168758,1.3.6.1.4.1.14519.5.2.1.8700.9668.165095201174814996070539882141
2.25.160539642186938793107880005813476638198,1.3.6.1.4.1.14519.5.2.1.8700.9668.173616821519361631817435003992
2.25.160623103510176194589031172817079090678,1.3.6.1.4.1.14519.5.2.1.8700.9668.177015195802460440389861556884
2.25.160655116045380895665957532217932103158,1.3.6.1.4.1.14519.5.2.1.8700.9668.202503937663904996247237669448
2.25.16070457812070317739652153767708179958,1.3.6.1.4.1.14519.5.2.1.8700.9668.730471879216977542522125265930
2.25.16115545767075560431533263694404894198,1.3.6.1.4.1.14519.5.2.1.8700.9668.122906983595983287138979540679
2.25.16221149381031635938433386393527500278,1.3.6.1.4.1.14519.5.2.1.8700.9668.485407286976239985253458719049
2.25.162232112610005257602266539809675263478,1.3.6.1.4.1.14519.5.2.1.8700.9668.270019398502453377423781803899
2.25.162387922714405809848578003342406041078,1.3.6.1.4.1.14519.5.2.1.8700.9668.167420532561055114964036522475
2.25.162481728462681886252967071411884113398,1.3.6.1.4.1.14519.5.2.1.8700.9668.283621481069956330045014817450
2.25.162579145430605362825863653214618500598,1.3.6.1.4.1.14519.5.2.1.8700.9668.327531903226941964666928493832
2.25.162689236923827058836166762210807889398,1.3.6.1.4.1.14519.5.2.1.8700.9668.275435268898823567238097399326
2.25.162746169092987371475196418990360083958,1.3.6.1.4.1.14519.5.2.1.8700.9668.184806248071977747927413128324
2.25.162747974306670258988128487889268489718,1.3.6.1.4.1.14519.5.2.1.8700.9668.125324110903270482452070782069
2.25.162838206864816942070892087126586408438,1.3.6.1.4.1.14519.5.2.1.8700.9668.261062258206223902575774359018
2.25.162865369844194145027714345702239354358,1.3.6.1.4.1.14519.5.2.1.8700.9668.260083086857882515394923012199
2.25.162907860303891357563287451290524302838,1.3.6.1.4.1.14519.5.2.1.8700.9668.619610001479170224327176296583
2.25.162944836879618389872285734187585617398,1.3.6.1.4.1.14519.5.2.1.8700.9668.336077549430723101427962963257
2.25.16306884156392384234751800140784844278,1.3.6.1.4.1.14519.5.2.1.8700.9668.160445438862650111230847143549
2.25.163185987995411994521157771554140569078,1.3.6.1.4.1.14519.5.2.1.8700.9668.157701938902813134309437921247
2.25.163280410534933244473415005363272007158,1.3.6.1.4.1.14519.5.2.1.8700.9668.327124790687365730974656416243
2.25.163282943459288825504287870963364249078,1.3.6.1.4.1.14519.5.2.1.8700.9668.253886608717999329998937527117
2.25.163340505492341126544801396417321614838,1.3.6.1.4.1.14519.5.2.1.8700.9668.130749916209847366753760344030
2.25.163483008830706595524292336275873709558,1.3.6.1.4.1.14519.5.2.1.8700.9668.201469284103726451087285509388
2.25.164846490647185578497968686501818121718,1.3.6.1.4.1.14519.5.2.1.8700.9668.130026599949572332510541339206
2.25.164901765363186092727055886341929287158,1.3.6.1.4.1.14519.5.2.1.8700.9668.632964693142732921084138721921
2.25.165176321449140586648587489644264406518,1.3.6.1.4.1.14519.5.2.1.8700.9668.948379943464094920822406544854
2.25.16522978177368415072894815329886780918,1.3.6.1.4.1.14519.5.2.1.8700.9668.338907139682145133325923841593
2.25.165359844772507003417545798915383213558,1.3.6.1.4.1.14519.5.2.1.8700.9668.947432833302787775360422815473
2.25.165374504359417017747930732352513883638,1.3.6.1.4.1.14519.5.2.1.8700.9668.119816603666679631729561143627
2.25.165535015466840353868713308815537847798,1.3.6.1.4.1.14519.5.2.1.8700.9668.218203636394931537680778760129
2.25.165586329963137592594885895361291468278,1.3.6.1.4.1.14519.5.2.1.8700.9668.150842218635016616754280399516
2.25.165649534625924159541522833015391763958,1.3.6.1.4.1.14519.5.2.1.8700.9668.639179958686167927595618716171
2.25.165654781907127479268601653431222517238,1.3.6.1.4.1.14519.5.2.1.8700.9668.153507883443226118636277459669
2.25.165683812294295143435860991837784882678,1.3.6.1.4.1.14519.5.2.1.8700.9668.260978749989656736797142482083
2.25.165699490755375091205627378250116873718,1.3.6.1.4.1.14519.5.2.1.8700.9668.919832196082568243772834669030
2.25.165705796920970414075578136380843867638,1.3.6.1.4.1.14519.5.2.1.8700.9668.634116927246734363515741910503
2.25.165719506958352694947877011193729760758,1.3.6.1.4.1.14519.5.2.1.8700.9668.176589230337490151550363211908
2.25.165742976716934295472602346718137794038,1.3.6.1.4.1.14519.5.2.1.8700.9668.319392160006933854659924606188
2.25.165753704606279539435234200536733040118,1.3.6.1.4.1.14519.5.2.1.8700.9668.580600400111969381367221135406
2.25.165818914137718529840933942820496588278,1.3.6.1.4.1.14519.5.2.1.8700.9668.109285718203409695622810049913
2.25.165873637029567132218909803626993663478,1.3.6.1.4.1.14519.5.2.1.8700.9668.205482154415434340602531448500
2.25.165887686163484974142573578807986994678,1.3.6.1.4.1.14519.5.2.1.8700.9668.617053361824604847608069811646
2.25.16659213775797380600638729926527794678,1.3.6.1.4.1.14519.5.2.1.8700.9668.173984110324204862015785861114
2.25.167528535081124457136479351275624447478,1.3.6.1.4.1.14519.5.2.1.8700.9668.196238836601810403384425934587
2.25.167586174757776022156043718402653142518,1.3.6.1.4.1.14519.5.2.1.8700.9668.288502477698815136714585035247
2.25.167662194971990083930608099758440037878,1.3.6.1.4.1.14519.5.2.1.8700.9668.114702857052573164022856014207
2.25.167708033217694336705766220546346434038,1.3.6.1.4.1.14519.5.2.1.8700.9668.311060080481224829014187353243
2.25.167817597051353687715580956539826585078,1.3.6.1.4.1.14519.5.2.1.8700.9668.333909991992182825177534210212
2.25.168182579408312212096181575294438194678,1.3.6.1.4.1.14519.5.2.1.8700.9668.507639835805384120258979184717
2.25.16835466726830675902657767637044018678,1.3.6.1.4.1.14519.5.2.1.8700.9668.185771655524183935861866416899
2.25.168411346766164024657766053773835877878,1.3.6.1.4.1.14519.5.2.1.8700.9668.886144975990643217053477736137
2.25.168483793394107880539383278329742867958,1.3.6.1.4.1.14519.5.2.1.8700.9668.433944141976087591734928040657
2.25.168507626809955421537418168220882943478,1.3.6.1.4.1.14519.5.2.1.8700.9668.116287767087227183769401474099
2.25.168605800802971721906060456336062791158,1.3.6.1.4.1.14519.5.2.1.8700.9668.234823797904282873452896692599
2.25.168641680068647931653983068649411952118,1.3.6.1.4.1.14519.5.2.1.8700.9668.236989021972832468795967021064
2.25.168677855647651944750528280817135369718,1.3.6.1.4.1.14519.5.2.1.8700.9668.270036578248732373902196467820
2.25.168700308512767674692480603204940840438,1.3.6.1.4.1.14519.5.2.1.8700.9668.250620879738952897408537598214
2.25.16889725737787757262937018243711876598,1.3.6.1.4.1.14519.5.2.1.8700.9668.102593168701928701393977739873
2.25.16937423072325407250776771540412906998,1.3.6.1.4.1.14519.5.2.1.8700.9668.164628424038679620685961889167
2.25.16977873406837877479656843371976703478,1.3.6.1.4.1.14519.5.2.1.8700.9668.299862349531177677754434437875
2.25.17009513569678761514196513116263136758,1.3.6.1.4.1.14519.5.2.1.8700.9668.237220402249594488076629494793
2.25.170160097706754121967005537650595184118,1.3.6.1.4.1.14519.5.2.1.8700.9668.113639665359091917570147209974
2.25.17026345196664104401396573560792268278,1.3.6.1.4.1.14519.5.2.1.8700.9668.496219737078133980464339770674
2.25.170279321830268837227503054457939803638,1.3.6.1.4.1.14519.5.2.1.8700.9668.153424389344739223491397363199
2.25.170502751190671251229342167913683598838,1.3.6.1.4.1.14519.5.2.1.8700.9668.164742757181644833607614443424
2.25.170663081261743242256113343128781045238,1.3.6.1.4.1.14519.5.2.1.8700.9668.206291271591988347510495272629
2.25.170735790531045832924009690282883399158,1.3.6.1.4.1.14519.5.2.1.8700.9668.437982528675488439887676051573
2.25.171019748623045894594483519445804891638,1.3.6.1.4.1.14519.5.2.1.8700.9668.329610476156346646523616942303
2.25.171034680358694145422868086706404965878,1.3.6.1.4.1.14519.5.2.1.8700.9668.142020427207559133883704311609
2.25.171068997641146386449375042300773252598,1.3.6.1.4.1.14519.5.2.1.8700.9668.275123057622112358991256710018
2.25.171104403122410760896558845221299404278,1.3.6.1.4.1.14519.5.2.1.8700.9668.330590925648922709974074665724
2.25.171188296239133865118349897039431187958,1.3.6.1.4.1.14519.5.2.1.8700.9668.110037223019770688914919508817
2.25.171263885848284661866239457483848007158,1.3.6.1.4.1.14519.5.2.1.8700.9668.154361768003720326536355009265
2.25.171326238412183387899925576572762439158,1.3.6.1.4.1.14519.5.2.1.8700.9668.188419614792110433244550759106
2.25.17174320428073621047363411532274318838,1.3.6.1.4.1.14519.5.2.1.8700.9668.230813417979127641313992200474
2.25.17238149804921612968302274280423013878,1.3.6.1.4.1.14519.5.2.1.8700.9668.111007889750233713323980356196
2.25.172897958777325112402672542105132973558,1.3.6.1.4.1.14519.5.2.1.8700.9668.182732620131291268787781749727
2.25.172990585214402163982396530272910294518,1.3.6.1.4.1.14519.5.2.1.8700.9668.431524474443763542762539019299
2.25.173002697615887344714327831272037662198,1.3.6.1.4.1.14519.5.2.1.8700.9668.240814795462131026275328754789
2.25.173154936907003379066943953778926796278,1.3.6.1.4.1.14519.5.2.1.8700.9668.188279530882688566988397951604
2.25.173228199981161944442560079805241998838,1.3.6.1.4.1.14519.5.2.1.8700.9668.380972221829913586024126040548
2.25.173354046786781227059037040951395204598,1.3.6.1.4.1.14519.5.2.1.8700.9668.290203216285925041277868229322
2.25.173438300787784583754885831362220768758,1.3.6.1.4.1.14519.5.2.1.8700.9668.251701706242496516954214953629
2.25.173440793701918095082268212222618090998,1.3.6.1.4.1.14519.5.2.1.8700.9668.438200897085485242152938531893
2.25.173485679228968113828766770644521696758,1.3.6.1.4.1.14519.5.2.1.8700.9668.228444612257246858552933241875
2.25.173531338022884271795200242055380581878,1.3.6.1.4.1.14519.5.2.1.8700.9668.291075218339565051295522759559
2.25.173564906203059940452395250691698441718,1.3.6.1.4.1.14519.5.2.1.8700.9668.205856153960742560590847124828
2.25.173625022155930888803831104034894888438,1.3.6.1.4.1.14519.5.2.1.8700.9668.198293080163003325573745848291
2.25.173688140856161127773661752693809069558,1.3.6.1.4.1.14519.5.2.1.8700.9668.228040353010986233437496364374
2.25.173951532505594924136061361750382591478,1.3.6.1.4.1.14519.5.2.1.8700.9668.250118011079606919238524554151
2.25.174005600972821158690608699883849891318,1.3.6.1.4.1.14519.5.2.1.8700.9668.268263172838916260277052187761
2.25.174062640496141678157815795915454791158,1.3.6.1.4.1.14519.5.2.1.8700.9668.794325558150466800412254962575
2.25.175602579672313243235502175195307294198,1.3.6.1.4.1.14519.5.2.1.8700.9668.140135749984432259710101067019
2.25.175607624129420526445876756138625187318,1.3.6.1.4.1.14519.5.2.1.8700.9668.293099114681683796045405614921
2.25.175650892213532816485923342360782683638,1.3.6.1.4.1.14519.5.2.1.8700.9668.249123095191662560840108812189
2.25.175696021367182566595260000930333572598,1.3.6.1.4.1.14519.5.2.1.8700.9668.165127468482848884732342108821
2.25.175708103265825179335421328415040060918,1.3.6.1.4.1.14519.5.2.1.8700.9668.105968313636715309535407926611
2.25.175907711094604429478876191011236330998,1.3.6.1.4.1.14519.5.2.1.8700.9668.257065705787052554264143899619
2.25.176147484432651911070917476648494939638,1.3.6.1.4.1.14519.5.2.1.8700.9668.270936240658186782406575903444
2.25.176166040064453564350103572609383382518,1.3.6.1.4.1.14519.5.2.1.8700.9668.308694038940458844772232725927
2.25.176506323041748266823459404037477744118,1.3.6.1.4.1.14519.5.2.1.8700.9668.161719719993764726258106148001
2.25.176616027901536893223795056539189493238,1.3.6.1.4.1.14519.5.2.1.8700.9668.201037757929492690186034113483
2.25.176699980043241070572517615547564277238,1.3.6.1.4.1.14519.5.2.1.8700.9668.337085107609480268777483375029
2.25.176767134626069786167705279335308574198,1.3.6.1.4.1.14519.5.2.1.8700.9668.306160958841263664275802521749
2.25.178207203930406433048603180691724287478,1.3.6.1.4.1.14519.5.2.1.8700.9668.216256896354971667607224264059
2.25.178273896216906877911380986150518373878,1.3.6.1.4.1.14519.5.2.1.8700.9668.329677139053014515459001347646
2.25.178285331613743374254547550316590120438,1.3.6.1.4.1.14519.5.2.1.8700.9668.141876431492398953278408548958
2.25.178294036015818003905997265022693785078,1.3.6.1.4.1.14519.5.2.1.8700.9668.438599582019277049223429567782
2.25.178322695615185101316156665643568578038,1.3.6.1.4.1.14519.5.2.1.8700.9668.166760714960544958717776610501
2.25.178386830416599585726116951503645818358,1.3.6.1.4.1.14519.5.2.1.8700.9668.221548870555442425899275114293
2.25.178561662806679000268562936971132517878,1.3.6.1.4.1.14519.5.2.1.8700.9668.147666902270258703163525082833
2.25.178668328870294392060230189094629129718,1.3.6.1.4.1.14519.5.2.1.8700.9668.290180548940780057512306041204
2.25.178850174933460381853161643040319323638,1.3.6.1.4.1.14519.5.2.1.8700.9668.229668554518279232032581261697
2.25.178909240717037203630802693958454066678,1.3.6.1.4.1.14519.5.2.1.8700.9668.328148017983566297213223244997
2.25.178924251680847968723524854763004476918,1.3.6.1.4.1.14519.5.2.1.8700.9668.167684385003066481306403690029
2.25.178925082784272743356426211039043501558,1.3.6.1.4.1.14519.5.2.1.8700.9668.247807018018267547780799036316
2.25.178950011133326231487606643707577220598,1.3.6.1.4.1.14519.5.2.1.8700.9668.264148135718113303953429900808
2.25.179046901233968988202658228443041873398,1.3.6.1.4.1.14519.5.2.1.8700.9668.139019713032222992387296039306
2.25.179168954199026275271329522737133239798,1.3.6.1.4.1.14519.5.2.1.8700.9668.260903808939560527742034140408
2.25.180793090331924186774541625076167065078,1.3.6.1.4.1.14519.5.2.1.8700.9668.318726341585599928050885954645
2.25.180828948602137330242414775100369386998,1.3.6.1.4.1.14519.5.2.1.8700.9668.175763419226148046627244829912
2.25.180851584880449280706308626542419885558,1.3.6.1.4.1.14519.5.2.1.8700.9668.241621448972572638173434539768
2.25.180893222448977027186287537630079466998,1.3.6.1.4.1.14519.5.2.1.8700.9668.294525531843412819184937438728
2.25.181007255939424620418707613405517823478,1.3.6.1.4.1.14519.5.2.1.8700.9668.184963060262214632601089663097
2.25.181010982436048478841826325745221877238,1.3.6.1.4.1.14519.5.2.1.8700.9668.206955632031476772917764620358
2.25.181036987099689723254032966708320910838,1.3.6.1.4.1.14519.5.2.1.8700.9668.114733026867292322458422158816
2.25.181190928211736564004620598539263262198,1.3.6.1.4.1.14519.5.2.1.8700.9668.219035662884460300090423828956
2.25.181588306568206358501541529447447510518,1.3.6.1.4.1.14519.5.2.1.8700.9668.288269273576817674897348844284
2.25.181610328035977198274175654988443401718,1.3.6.1.4.1.14519.5.2.1.8700.9668.786983900660894525899148835058
2.25.181641629102282521257350424364622396918,1.3.6.1.4.1.14519.5.2.1.8700.9668.190876275666523653031360783469
2.25.181697728583454808978191972997256560118,1.3.6.1.4.1.14519.5.2.1.8700.9668.130806500650596600494646148095
2.25.181802426619513346443713401489026825718,1.3.6.1.4.1.14519.5.2.1.8700.9668.299683378602321099943207400272
2.25.181848809558834884786192477891591781878,1.3.6.1.4.1.14519.5.2.1.8700.9668.420806963358110795456635606794
2.25.181943059777102666213515445742631239158,1.3.6.1.4.1.14519.5.2.1.8700.9668.994717109586281149959645003952
2.25.182064468617198712313122104524406373878,1.3.6.1.4.1.14519.5.2.1.8700.9668.160112329988931544814099483307
2.25.182069627955141641206786196106452254198,1.3.6.1.4.1.14519.5.2.1.8700.9668.161366616884876992519693514265
2.25.183450025776599044759182143901232905718,1.3.6.1.4.1.14519.5.2.1.8700.9668.577047225739037093038713018191
2.25.183685383333008793828367653366419537398,1.3.6.1.4.1.14519.5.2.1.8700.9668.302780314166636437244456777254
2.25.183692725010688178133210759116577422838,1.3.6.1.4.1.14519.5.2.1.8700.9668.424397668033000318328476923656
2.25.183883987340968988242665205760765050358,1.3.6.1.4.1.14519.5.2.1.8700.9668.262265314385400811506279219111
2.25.184062150483000502457863623815923875318,1.3.6.1.4.1.14519.5.2.1.8700.9668.264311962272644100864208784666
2.25.184167816291064151662268757447047495158,1.3.6.1.4.1.14519.5.2.1.8700.9668.233922704567254590197862248861
2.25.184331134452285368168532273172231863798,1.3.6.1.4.1.14519.5.2.1.8700.9668.253820869085632530595269868265
2.25.186257942369169210578757799755256544758,1.3.6.1.4.1.14519.5.2.1.8700.9668.319895848462419302224741257230
2.25.186286864213754230203874635006606949878,1.3.6.1.4.1.14519.5.2.1.8700.9668.334167059831618144554107512274
2.25.186331036687341620571334851532957531638,1.3.6.1.4.1.14519.5.2.1.8700.9668.456373433133780445134273842369
2.25.186593822637472995382873557946030734838,1.3.6.1.4.1.14519.5.2.1.8700.9668.255480630171386994469030467924
2.25.186611040501750595308719386917317754358,1.3.6.1.4.1.14519.5.2.1.8700.9668.152998207277564741507027070145
2.25.186708616322139912981612843775672565238,1.3.6.1.4.1.14519.5.2.1.8700.9668.112381702283259072513816178895
2.25.186760260011452398476108131496539831798,1.3.6.1.4.1.14519.5.2.1.8700.9668.556300919092351614918022419189
2.25.186779446299427665299421472067272949238,1.3.6.1.4.1.14519.5.2.1.8700.9668.139170548926314031759198541757
2.25.186810434414491056938462746944848117238,1.3.6.1.4.1.14519.5.2.1.8700.9668.239635192751507371277253541897
2.25.187018935208371720682490796881749851638,1.3.6.1.4.1.14519.5.2.1.8700.9668.158881437284397763134224057397
2.25.187094514121720578004694782197733375478,1.3.6.1.4.1.14519.5.2.1.8700.9668.176984108692673560357667048923
2.25.18710030008789362123387359468338134518,1.3.6.1.4.1.14519.5.2.1.8700.9668.227179016694111614482294667953
2.25.187216366243385891413270276857910640118,1.3.6.1.4.1.14519.5.2.1.8700.9668.133588052231811224578146935745
2.25.187322364017450475385249927438186167798,1.3.6.1.4.1.14519.5.2.1.8700.9668.180155207989595055621563872653
2.25.187333435757021031255106937237525872118,1.3.6.1.4.1.14519.5.2.1.8700.9668.179137509582189019472692557351
2.25.18734371277158619555826223976199863798,1.3.6.1.4.1.14519.5.2.1.8700.9668.137463212041080754448933546107
2.25.18745237023506638338405490561268694518,1.3.6.1.4.1.14519.5.2.1.8700.9668.272820624801655325829641199699
2.25.18796628371121515900985542844654140918,1.3.6.1.4.1.14519.5.2.1.8700.9668.129010944227944471463980219437
2.25.188800689828479572515519935394180873718,1.3.6.1.4.1.14519.5.2.1.8700.9668.132108502150655946826043796996
2.25.188881771929996670638613168272954736118,1.3.6.1.4.1.14519.5.2.1.8700.9668.290054886066013902350773174295
2.25.188917478478278599290279826660492164598,1.3.6.1.4.1.14519.5.2.1.8700.9668.300627580081195069616722954881
2.25.188929400732173745787800903154138725878,1.3.6.1.4.1.14519.5.2.1.8700.9668.336242004877685233864908977506
2.25.189062816600298828647769863521587281398,1.3.6.1.4.1.14519.5.2.1.8700.9668.123794452224115293463225426904
2.25.189315537800805203889182374078929550838,1.3.6.1.4.1.14519.5.2.1.8700.9668.653162656955544802764724997300
2.25.18947067202244413596529852065271889398,1.3.6.1.4.1.14519.5.2.1.8700.9668.242789898471578496940745657693
2.25.189478832985859291258787987676368322038,1.3.6.1.4.1.14519.5.2.1.8700.9668.758402535465314471405692365891
2.25.189518357539292782308883278946872442358,1.3.6.1.4.1.14519.5.2.1.8700.9668.291872605073789835411043119393
2.25.189520210686013990951739591939870801398,1.3.6.1.4.1.14519.5.2.1.8700.9668.865867831553009110419230898514
2.25.189856140075778534599744658127894199798,1.3.6.1.4.1.14519.5.2.1.8700.9668.314536160370093175614802274979
2.25.190056089377938221222494548898516418038,1.3.6.1.4.1.14519.5.2.1.8700.9668.119166407002956502613525852631
2.25.19018099211346577288399343893945630198,1.3.6.1.4.1.14519.5.2.1.8700.9668.332202320963390833264185161718
2.25.19043592853339604695628506498564996598,1.3.6.1.4.1.14519.5.2.1.8700.9668.102557775166213182459532729055
2.25.191478716998438165380792919521985412598,1.3.6.1.4.1.14519.5.2.1.8700.9668.330692882766723770973352578241
2.25.191548158502177855216085220955856158198,1.3.6.1.4.1.14519.5.2.1.8700.9668.181135506074844135711876495344
2.25.191569338566862793501454103060099481078,1.3.6.1.4.1.14519.5.2.1.8700.9668.359699205771907871461104856166
2.25.191639024885624652413549568544776764918,1.3.6.1.4.1.14519.5.2.1.8700.9668.312816633391369111439287779478
2.25.191695066926379117292746361858046934518,1.3.6.1.4.1.14519.5.2.1.8700.9668.109707662763711258852282261654
2.25.191777557308484906464440319980538019318,1.3.6.1.4.1.14519.5.2.1.8700.9668.151543499654564311576622797707
2.25.191864219053347071653508578192014294518,1.3.6.1.4.1.14519.5.2.1.8700.9668.234932171684760458928688191711
2.25.191999283659534076354342860209069342198,1.3.6.1.4.1.14519.5.2.1.8700.9668.453512996179526134929809601666
2.25.192064249168232522825882814377465855478,1.3.6.1.4.1.14519.5.2.1.8700.9668.216701533061980124562232325410
2.25.19207942169095944352245802198262988278,1.3.6.1.4.1.14519.5.2.1.8700.9668.151626142425132647971690049548
2.25.192090250266606454096194263631087123958,1.3.6.1.4.1.14519.5.2.1.8700.9668.303535878796055436787090828045
2.25.192159490134672545128747389495604264438,1.3.6.1.4.1.14519.5.2.1.8700.9668.322619704438614045952300018175
2.25.192277275870896813920195895512530533878,1.3.6.1.4.1.14519.5.2.1.8700.9668.323562885209898984754592560293
2.25.192371585906427293617093746489252494838,1.3.6.1.4.1.14519.5.2.1.8700.9668.336451277027799692105942427739
2.25.192502590069285442270626359378852822518,1.3.6.1.4.1.14519.5.2.1.8700.9668.969302585568682410515598455046
2.25.192626858253766628170176769161795583478,1.3.6.1.4.1.14519.5.2.1.8700.9668.226429963484275494845470746669
2.25.192684786320929745111929976788803501558,1.3.6.1.4.1.14519.5.2.1.8700.9668.144439184069117814539322919971
2.25.194131233096207977700682470465501511158,1.3.6.1.4.1.14519.5.2.1.8700.9668.135239519966038504056025922430
2.25.194134957215986960695871054998887054838,1.3.6.1.4.1.14519.5.2.1.8700.9668.496750298055405407241458976003
2.25.194367112766208695771852721385320857078,1.3.6.1.4.1.14519.5.2.1.8700.9668.112054967706910909216188427489
2.25.194456313773679443132940852680405401078,1.3.6.1.4.1.14519.5.2.1.8700.9668.108019530424511238275159725515
2.25.194680939083195009954955940682079518198,1.3.6.1.4.1.14519.5.2.1.8700.9668.255525908624787752453460022976
2.25.194850082098924275175319333758492589558,1.3.6.1.4.1.14519.5.2.1.8700.9668.278267389132577332627913545202
2.25.194943700472596005344549993096528117238,1.3.6.1.4.1.14519.5.2.1.8700.9668.552982196644233536770279297651
2.25.194949299922981700976609416815218114038,1.3.6.1.4.1.14519.5.2.1.8700.9668.340235978097601591342627645886
2.25.194952542731673409815947120569105366518,1.3.6.1.4.1.14519.5.2.1.8700.9668.280702413404111035232849070089
2.25.194985093622242395319047428101100912118,1.3.6.1.4.1.14519.5.2.1.8700.9668.732514315875139386511348814947
2.25.195189664303121538980609150290346229238,1.3.6.1.4.1.14519.5.2.1.8700.9668.244656587332910952700744080988
2.25.195322296604719355766279310508125961718,1.3.6.1.4.1.14519.5.2.1.8700.9668.392067724196021238218070058406
2.25.19676568827551566482677855310105394678,1.3.6.1.4.1.14519.5.2.1.8700.9668.602693121259440680941312429118
2.25.196820005981848380238063266959290121718,1.3.6.1.4.1.14519.5.2.1.8700.9668.479090528349499963053287465807
2.25.197050776623789365973423798197472050678,1.3.6.1.4.1.14519.5.2.1.8700.9668.158623976108397583016383179319
2.25.197135889458074377294692102624719257078,1.3.6.1.4.1.14519.5.2.1.8700.9668.274378595242399225751974102679
2.25.197148823851745643519125936642331360758,1.3.6.1.4.1.14519.5.2.1.8700.9668.138785341433496673074871774695
2.25.197319911126583008786333875287285677558,1.3.6.1.4.1.14519.5.2.1.8700.9668.226681635590960536035135134699
2.25.19740983700520538817071534348047072758,1.3.6.1.4.1.14519.5.2.1.8700.9668.318995828080426279092306479895
2.25.19750761644197236750295641574677790198,1.3.6.1.4.1.14519.5.2.1.8700.9668.129108737494413747249513216494
2.25.197594206948023643349516483797743943158,1.3.6.1.4.1.14519.5.2.1.8700.9668.262082175398541868218829952920
2.25.197599336179264816822732289833088695798,1.3.6.1.4.1.14519.5.2.1.8700.9668.324077331015537504821342424897
2.25.197657222255501801204386572881802935798,1.3.6.1.4.1.14519.5.2.1.8700.9668.303590541448033458520934327958
2.25.197821529976472820872226631970927001078,1.3.6.1.4.1.14519.5.2.1.8700.9668.129250387814484092619185750136
2.25.197861422940862003251491733220800183798,1.3.6.1.4.1.14519.5.2.1.8700.9668.151201828714855169538154656947
2.25.197966814223342540529967105222135889398,1.3.6.1.4.1.14519.5.2.1.8700.9668.199803776595890849796243168482
2.25.19846962459826119365610162477774519798,1.3.6.1.4.1.14519.5.2.1.8700.9668.312705578044339063174144264655
2.25.199398851376563491292319773092866538998,1.3.6.1.4.1.14519.5.2.1.8700.9668.157912897278744310665813322483
2.25.199445804362514319766707835044154162678,1.3.6.1.4.1.14519.5.2.1.8700.9668.263605500727893101070210452236
2.25.199547466771526123194134366899467304438,1.3.6.1.4.1.14519.5.2.1.8700.9668.246238364869136613370216827065
2.25.199840968687982653146714714366646271478,1.3.6.1.4.1.14519.5.2.1.8700.9668.143040423130148176148635761284
2.25.199941286991217402079653971748841962998,1.3.6.1.4.1.14519.5.2.1.8700.9668.155314364926562500262643235909
2.25.200027244001574002887439335386879999478,1.3.6.1.4.1.14519.5.2.1.8700.9668.735045397848257389050422339731
2.25.200112962535161435759568542457627524598,1.3.6.1.4.1.14519.5.2.1.8700.9668.221114983749332822998902695569
2.25.200176175516905066703960927433842605558,1.3.6.1.4.1.14519.5.2.1.8700.9668.315529262883687721356900085008
2.25.200217598377112399527584960017396776438,1.3.6.1.4.1.14519.5.2.1.8700.9668.584077600094942342647688285952
2.25.200258398503962370233515507345501306358,1.3.6.1.4.1.14519.5.2.1.8700.9668.252166783220382217231049998125
2.25.200289683328494377792501070045170482678,1.3.6.1.4.1.14519.5.2.1.8700.9668.325267111966096041469519778402
2.25.200415128051188900517464743955775733238,1.3.6.1.4.1.14519.5.2.1.8700.9668.215458609885481909739259929416
2.25.200437274303315700256430579328493403638,1.3.6.1.4.1.14519.5.2.1.8700.9668.303166243849058458947425017645
2.25.200453522811024938158105951289548062198,1.3.6.1.4.1.14519.5.2.1.8700.9668.180458840194501130747471451366
2.25.200557449164780586688979218663242055158,1.3.6.1.4.1.14519.5.2.1.8700.9668.547121196848197849768672701408
2.25.200662729131692791426060271735327538678,1.3.6.1.4.1.14519.5.2.1.8700.9668.224164192911308980402457641452
2.25.202083065473732823059715437067752816118,1.3.6.1.4.1.14519.5.2.1.8700.9668.330095722949619014976948987516
